Original Text,Translated Text
"Pakistaanse oud-premier Imran Khan na vrijlating weer thuis in Lahore, aanhangers gooien rozenblaadjes over auto","Pakistani former Prime Minister Imran Khan after release back home in Lahore, followers throw rose petals over car"
“A special gift”: RSC Anderlecht stuurt prachtig verjaardagscadeau naar Milaan voor Romelu Lukaku’s 30e verjaardag,A special gift: RSC Anderlecht sends a wonderful birthday gift to Milan for Romelu Lukaku's 30th birthday
"Hoe de voetbalploeg van Fossombrone, aankomstplaats in de Giro, wereldberoemd werd dankzij een Belg: “Ze noemden ons ‘mannequins’”","How the soccer team of Fossombrone, arrival in the Giro, became world famous thanks to a Belgian:"
AA Gent legt Cercle Brugge dankzij hattrick van sensatie Gift Orban over de knie en kan winst in Europe Play-offs al ruiken,AA Gent puts Cercle Bruges over the knee thanks to hat trick of thrill Gift Orban and can already smell profit in Europe Playoffs
JEUGDCUP NIEUWSBLAD: FFF Brussels - VK Linden 3-3 (pen. 5-4),JUGDCUP NEWSBLAD: FFF Brussels - UK Linden 3-3 (pen. 5-4)
JEUGDCUP NIEUWSBLAD PU13: RSC Anderlecht - Verb. Beersel-Drogenbos 7-3,JUGDCUP NEWSBLAD PU13: RSC Anderlecht - Verb. Beersel-Drogenbos 7-3
Kampioen Anderlecht sluit Lotto Super League in stijl af met forfaitscore tegen Gent,Champion Anderlecht closes Lotto Super League in style with forfait score against Ghent
Het is nog eens zover: Eden Hazard wordt in de basis gedropt bij Real Madrid,The time has come: Eden Hazard is dropped into the base at Real Madrid
"Bayern zet Dortmund onder druk na klinkende zege tegen Schalke, Wolfsburg-Belgen doen goeie zaak voor Europees voetbal","Bayern puts Dortmund under pressure after sounding victory against Schalke, Wolfsburg-Belgen do good for European football"
JEUGDCUP NIEUWSBLAD PU12: RSC Anderlecht - Boka United 1-5,JUGDCUP NEWSBLAD PU12: RSC Anderlecht - Boka United 1-5
"Romeo Lavia degradeert met Southampton uit Premier League, Nottingham Forest pakt cruciaal punt dankzij assist Orel Mangala","Romeo Lavia degrades with Southampton from Premier League, Nottingham Forest takes crucial point thanks to assist Orel Mangala"
JEUGDCUP NIEUWSBLAD GU11: KAC Betekom - KV Zuun 2-7,YUGDCUP NEWSBLAD GU11: KAC Betekom - KV Zuun 2-7
JEUGDCUP NIEUWSBLAD PU11: RRC Etterbeek - KAC Betekom 2-1,JUGDCUP NEWSBLAD PU11: RRC Etterbeek - KAC Betekom 2-1
JEUGDCUP NIEUWSBLAD GU10: VK Linden - KAC Betekom 0-1,YUGDCUP NEWSBLAD GU10: UK Linden - KAC Betekom 0-1
JEUGDCUP NIEUWSBLAD PU10: Rotselaar Sportief - RSC Anderlecht 1-9,JUGDCUP NEWSBLAD PU10: Rotselaar Sportief - RSC Anderlecht 1-9
VIDEO. Straf moment in de Premier League: supporter komt Newcastle-trainer de les spellen én een duw verkopen,VIDEO. Punishment moment in the Premier League: supporter comes Newcastle trainer the lesson games and sell a push
JEUGDCUP NIEUWSBLAD GU09: Rotselaar Sportief - FFF Brussels 7-5,JUGDCUP NEWSBLAD GU09: Rotselaar Sportief - FFF Brussels 7-5
JEUGDCUP NIEUWSBLAD PU09: RSC Anderlecht - RRC Etterbeek 6-2,JUGDCUP NEWSBLAD PU09: RSC Anderlecht - RRC Etterbeek 6-2
Oude bekenden Raskin en Sakala drogen met Rangers aartsrivaal Celtic af in beladen Schotse Old Firm,Old acquaintances Raskin and Sakala dry with Rangers archrival Celtic in loaded Scottish Old Firm
JEUGDCUP NIEUWSBLAD GU08: VK Linden - FFF Brussels 2-5,JUGDCUP NEWSBLAD GU08: UK Linden - FFF Brussels 2-5
JEUGDCUP NIEUWSBLAD PU08:Rotselaar Sportief - RSC Anderlecht 6-16,JUGDCUP NEWSBLAD PU08:Rotselaar Sportief - RSC Anderlecht 6-16
"Cercle - Gent is ook een match tussen twee coaches die mekaar erg graag hebben: “Het klikte direct, misschien omdat ik hem liet winnen”","Cercle - Ghent is also a match between two coaches who love each other very much: ""It clicked immediately, perhaps because I let him win."""
Bijna 50 miljoen dividend voor eigenaars Degroof Petercam,Almost 50 million dividends for owners Degroof Petercam
JEUGDCUP NIEUWSBLAD PU15: Boka United - RRC Etterbeek 4-0,JUGDCUP NEWSBLAD PU15: Boka United - RRC Etterbeek 4-0
"Eigenaars RWDM en SK Beveren vechten om promotie, maar zitten met hun geld ook samen in dezelfde Premier League-club","Owners RWDM and SK Beveren fight for promotion, but also join with their money in the same Premier League club"
JEUGDCUP HET NIEUWSBLAD. Dit weekend provinciale finales in Vlaams-Brabant en West-Vlaanderen. Volg hier jouw team op de voet!,YOUTH CUP THE NEWSBLAD. This weekend provincial finals in Flemish Brabant and West Flanders. Follow your team here on foot!
Ineos Grenadiers ziet Filippo Ganna uitvallen met corona: “Hij keek er zo naar uit om zondag voor eigen volk te knallen in de tijdrit”,"Ineos Grenadiers sees Filippo Ganna fall out with corona: ""He was so looking forward to blowing up his own people's time trial Sunday."
Helikoptervlucht van Evenepoel en co dreigt nog een staartje te krijgen: UCI “veroordeelt gedrag dat ingaat tegen de principes van fair play”,Helicopter flight of Evenepoel and co threatens to get another tail: UCI condemns behavior that goes against the principles of fair play.
"Thomas en Geoghegan Hart winnen tijd in het zog van Roglic: “Primoz vertelde me gisteren dat hij corona had, hij speelt graag mind games”","Thomas and Geoghegan Hart win time in the wake of Roglic:.Primoz told me yesterday that he had corona, he likes to play mind games."
Remco Evenepoel panikeert niet na “dom foutje” en is groots in verlies: “Spectaculair wat Roglic deed om het verschil te maken”,Remco Evenepoel doesn't panic after.............................................................................................................................................................................................
"Greg Van Avermaet valt net naast podium in Franse eendagskoers, ook Florian Vermeersch in top tien","Greg Van Avermaet falls next to stage in French one day race, also Florian Vermeersch in top ten"
VOORBESCHOUWING RIT 9. Remco Evenepoel krijgt zondagmiddag in lange tijdrit uitgelezen kans om Roglic van antwoord te dienen,PRE-COURSE RIT 9. Remco Evenepoel gets Sunday afternoon in long time trial excellent opportunity to answer Roglic
Ploegleider Klaas Lodewyck verklaart tijdsverlies van Evenepoel: “Op dit soort inspanningen heeft Remco niet meer getraind”,"Team leader Klaas Lodewyck explains the loss of Evenepoel's time: ""Remco has not trained on this kind of effort anymore."""
De starttijden voor de tweede tijdrit in de Giro: Remco Evenepoel start als voorlaatste om 16u25,The start times for the second time trial in the Giro: Remco Evenepoel starts at 4:25 p.m.
"Voorlaatste rit in Ronde van Hongarije kleurt Belgisch met onder meer tweede plaats voor Thibau Nys, Zwitser gaat met de eer lopen","Forelast ride in Tour of Hungary colors Belgian with among others second place for Thibau Nys, Swiss takes the credit"
Primoz Roglic neemt voor het eerst in deze Giro de handschoen op tegen Evenepoel: “Ik ben klaar om elke kans te grijpen”,Primoz Roglic takes up the glove against Evenepoel for the first time in this Giro: I'm ready to grab any chance.
VIDEO. Bekijk hoe Remco Evenepoel vinnige Primoz Roglic voor het eerst bergop moet laten gaan in de Giro,VIDEO. See how Remco Evenepoel should let finny Primoz Roglic go uphill in the Giro for the first time
"Remco Evenepoel moet bergop 14 seconden prijsgeven aan Roglic, ontketende Ben Healy pakt ritwinst na solo van dik 50 (!) kilometer","Remco Evenepoel has to give up 14 seconds uphill to Roglic, Ben Healy unleashes ride win after solo of thick 50 (!) kilometers"
Veldrijdster Laura Verdonschot stapt in huwelijksbootje met ex-Belgisch kampioene Kaat Hannes: “Zij is alles wat ik in partner kan wensen”,"Field rider Laura Verdonschot gets into a wedding boat with ex-Belgian champion Kaat Hannes: ""She's all I can wish for in partner."""
Patrick Lefevere verdedigt de keuze voor helikoptervlucht: “Fair play? Er zijn ploegen die 20 miljoen meer budget hebben dan wij”,"Patrick Lefevere is defending the choice of helicopter flight: ""Fair play""? There are shifts that have 20 million more budget than we have."
Twee op twee (en vijf op vijf): Demi Vollering sprint naar tweede zege op rij in Ronde van het Baskenland,Two in two (and five in five): Demi Fulling sprint to second win in a row in Tour of the Basque Country
Allan Peiper wordt adviseur bij Jayco AlUla: “Vereerd met het voorstel”,"Allan Peiper becomes an advisor to Jayco AlUla: ""I am honored with the proposal'"
Bpost boekt fors minder winst,Bpost has significantly reduced profits
"PODCAST GIRO. Wapenstilstand onder de favorieten, maar Jumbo-Visma klinkt strijdvaardig: “Het gaat prima met Primoz Roglic”","PODCAST GIRO. Truce among the favorites, but Jumbo-Visma sounds combative: ""Primoz Roglic's doing just fine."
“We gaan de klimtrein rond Remco uitbouwen. Voor 2024 mik ik op één extra klimprofiel”,We're going to build the climbing train around Remco. For 2024 I aim for one additional climb profile
"Boekhandel Raaklijn verandert na 60 jaar van eigenaar: ‘Het is tijd om naar de Provence te trekken, en te lezen’","Bookstore Raakline changes its owner after 60 years: ""It's time to go to Provence, and read ""It's time to go to Provence."""
"Karel Vacek, ooit concurrent van Evenepoel bij de jeugd, komt weer boven water met knappe tweede plaats: “Na mijn strijd met Remco ging ik door een moeilijke periode”","Karel Vacek, once a competitor of Evenepoel in youth, comes up again with handsome second place: After my struggle with Remco I went through a difficult period."
"DE KOPGROEP. Barbara (41): “Eerst een kwetsuur, dan een valpartij in de Ronde, maar ik geef niet op. Ik ben een Flandrien”","THE HEADING GROUP. Barbara (41): First an injury, then a fall in the Round, but I will not give up. I'm a Flandrien."
"Een sof voor de tv-kijkers, maar voor Remco Evenepoel en co. verliep de eerste echte bergrit quasi perfect: “We hadden een lichte prik verwacht, maar die kwam er niet”","A soft for the TV viewers, but for Remco Evenepoel and co. the first real mountain ride was almost perfect:.We expected a slight shot, but it didn't come there."
THE SERRY STORIES. ‘Alles oké’ met Pieter Serry nadat hij weer tegen de vlakte gaat in de Giro: “Maar kijk een keer hoe mooi dat het hier is”,"THE SERY STORIES. Everything okay with Pieter Serry after he goes against the plain in the Giro again: Oh, but look how beautiful it is here!"
"Straffe kost: Tom Pidcock hoort pas na zware training dat hij (achteraan) mag starten, maar knalt met monsterlijke demarrage naar winst in wereldbeker mountainbike","Punitive cost: Tom Pidcock only hears after heavy training that he can start (at the back), but blows with monstrous demarrage to win in world cup mountain bike"
"Eerste aankomst bergop in de Giro baart een muis: Remco Evenepoel wint prestigesprintje, Italiaanse vluchter maakt droom waar","First arrival uphill in the Giro gives birth to a mouse: Remco Evenepoel wins prestige print, Italian escapeer makes dream come true"
Geen kwartfinale voor TOPdesk Antwerp op 3X3 Challenger in China,No quarter final for TOPdesk Antwerp on 3X3 Challenger in China
Kortrijk Spurs verovert na Beker van Vlaanderen ook titel in Top Division 1: “Dit gevoel is moeilijk onder woorden te brengen”,Kortrijk Spurs also wins title in Top Division 1: after Cup of Flanders.This feeling is hard to put into words.
Pascal De Gryse is het eens met coach Dario Gjergja na verlies van Oostende in Mechelen: “Geen landstitel indien we als team niet beter gaan verdedigen”,"Pascal De Gryse agrees with Coach Dario Gjergja after the loss of Ostend in Mechelen: ""No country title if we don't defend ourselves better as a team."""
Thibaut “Must See TV” nekt ex-ploeg TOPdesk Antwerp in 3X3 Challenger in Shenzhen,Thibaut...........................................................................................................................
"LA Lakers ten koste van Golden State Warriors naar finale NBA play-offs Western Conference, Miami Heat langs New York Knicks in Eastern Conference","LA Lakers at the expense of Golden State Warriors to final NBA play-offs Western Conference, Miami Heat along New York Knicks in Eastern Conference"
"Kortrijk Spurs met dubbel (titel en Vlaamse Cup) naar BNXT League, West-Vlaamse club ontvangt op 15 mei licentie","Kortrijk Spurs with double (title and Flemish Cup) to BNXT League, West Flemish club receives license on May 15th"
"HALVE FINALE PLAY-OFFS. Telenet Giants Antwerp winnen met rug tegen de muur tegen Limburg United, Mechelse remontada tegen Oostende","HALF FINAL PLAY-OFFS. Telenet Giants Antwerp win with back against the wall against Limburg United, Mechelse remontada against Ostend"
Play-offs halve finale. Openen Limburg United en Oostende poort richting finale?,Play-offs semi-finals. Open Limburg United and Ostend gate towards finals?
"Denver bereikt finale Western Conference, beslissing tussen Philadelphia en Boston moet vallen in zevende duel","Denver reaches final Western Conference, decision between Philadelphia and Boston must fall in seventh duel"
Voor Brevin Pritzl is het met Leuven Bears hard ontwaken in BNXT play-offs: “We werden pas wakker toen het kalf al verdronken was”,"For Brevin Pritzl, it's with Leuven Bears waking up hard in BNXT play-offs: We only woke up when the calf had already drowned."
Na moeizame eerste zege van Oostende is Pierre-Antoine Gillet niet bang van slopende twintigdaagse: “Zo’n zwaar schema vormt ook de schoonheid van de play-offs”,"After difficult first victory of Ostend, Pierre-Antoine Gillet is not afraid of debilitating twenty-days: Such a heavy schedule also forms the beauty of the play-offs."
Kangoeroes Mechelen zet de toon in play-offs met uithaal naar de coach van Oostende: “Die Dario-show moet stoppen”,"Kangaroos Mechelen sets the tone in play-offs with a swing at the coach of Ostend: ""Die Dario-show must stop."""
Physical coach Adriaan Schets ontvangt met Okapi Aalst ex-ploeg Leuven Bears: “Het was al een uitdagend seizoen”,Physical coach Adriaan Schets receives with Okapi Aalst ex-p team Leuven Bears: It was already a challenging season.
Golden State Warriors en New York Knicks houden hoop op Conference Finals in leven na ‘must-win’ game in NBA,Golden State Warriors en New York Knicks houden hoop op Conference Finals in leven na ‘must-win’ game in NBA
Gillet en Bleijenbergh loodsen Oostende naar verdiende zege tegen Mechelen,Gillet and Bleijenbergh pilot Ostend to deserved victory against Mechelen
Huldiging NBA-speler Jae’Sean Tate inspireert Antwerp Giants niet: Limburgers straffen Antwerpse off-day meteen af,N.B.A. Player Jae...Sean Tate doesn't inspire Antwerp Giants: Limburgers punish Antwerp off-day right away.
Kan LDP Donza vrijdag eerste titel in Top Division 1 veroveren? “Zullen zo goed als mogelijk voorbereid zijn”,Can LDP Donza win first title in Top Division 1 on Friday? Will be prepared as well as possible....................................................................................................................................................................................................
Terry Deroover gelooft met Circus Brussels in stunt tegen Charleroi: “In eigen huis moeten we een goede uitgangspositie verwerven”,"Terry Deroover believes with Circus Brussels in stunt against Charleroi: In his own house, we need to get a good starting position."
"LA Lakers zijn plots herboren, met dank aan jonkies die opbloeien naast LeBron James: “Kijk geen tv en blijf weg van sociale media”","LA Lakers are suddenly reborn, thanks to youngsters who blossom next to LeBron James: ""Don't watch TV and stay away from social media."""
Philadelphia en Denver staan op een zege van Conference Finals,Philadelphia and Denver stand on a victory of Conference Finals
Oostende en Antwerp Giants favoriet in halve finale tegen Kangoeroes Mechelen en Limburg United,Ostend and Antwerp Giants favorite in semi-finals against Kangaroos Mechelen and Limburg United
Belgian Cat Billie Massey verlengt haar contract bij Estudiantes Madrid,Belgian Cat Billie Massey extends her contract with Estudiantes Madrid
Met twaalfde landstitel op rij in het achterhoofd is Bree Tyree klaar om met Oostende te knallen in play-offs: “We zijn opgewonden om eraan te beginnen”,With 12th title in a row in mind Bree Tyree is ready to pop with Ostend in play-offs: We're excited to get started.
Thibaut Vervoort met Futian op 3X3 Challenger Chenzhen tegen… TOPDesk Antwerp,Thibaut Vervoort with Futian on 3X3 Challenger Chenzhen against... TOPDesk Antwerp
"LA Lakers en Miami Heat op één zege van de finale in hun Conference, geen schorsing voor Jokic na opstootje met Phoenix Suns-eigenaar","LA Lakers and Miami Heat on one victory of the finals in their Conference, no suspension for Jokic after a hit with Phoenix Suns owner"
Dirk Van Tichelt legt de lat hoog voor Parijs 2024: “Twee olympische medailles voor Belgische judoka’s”,Dirk Van Tichelt sets the bar high for Paris 2024: two Olympic medals for Belgian judoka.
"Hoe Charline Van Snick op weg naar Parijs 2024 vocht tegen twijfels, kilo’s, fysieke zorgen en privéproblemen: “Ik was lange tijd geen topatlete meer”","How Charline Van Snick fought on his way to Paris 2024 against doubts, kilos, physical concerns and private problems: I wasn't a top athlete anymore for a long time."
Hugo Boss breidt merk uit met nieuwe jeanslijn,Hugo Boss expands brand with new jeans line
"Vierde remise op een rij tussen Nepomniachtchi en Ding, Rus behoudt de leiding in WK schaken","Fourth draw in a row between Nepomniachtchi and Ding, Russian keeps the lead in World Chess Championship"
"Olympisch kajakker Laurens Pannecoucke (34) maakt comeback: “Als veteraan tussen die jonge gasten, daar kijk ik naar uit”","Olympic kayak artist Laurens Pannecoucke (34) makes comeback: As a veteran among those young guests, I look forward to it."
Australiër verbreekt record van langste surfsessie,Australian breaks record of longest surfing session
Lag het groeiende succes moeilijk? Hoe Nederlandse beslissing Belgisch shorttrack-succes in gevaar brengt: “Heel verdrietig”,"Was the growing success difficult? How Dutch decision puts Belgian shorttrack success at risk: ""Very sad"""
Goed nieuws: Tibo Vyvey is terug na hersentrombose,Good news: Tibo Vyvey is back after brain thrombosis
"Sid (13) kan de mat amper zien, maar kroont zich wel tot Belgisch judokampioen: “Het perfecte voorbeeld van inclusie”","Sid (13) can barely see the mat, but crowns itself as Belgian judokampion: ""The perfect example of inclusion"""
Krawatencross in Lille mist thuisrijders Wout van Aert en Sanne Cant: “Maar op dit moment geen optie om plek op kalender te wijzigen”,Krawatencross in Lille misses home riders Wout van Aert and Sanne Cant:.But at the moment no option to change place on calendar...............................................................................................................................................
Grootste concurrente van Hanne Desmet op WK shorttrack haalt keihard uit naar... eigen trainer: “Zo word ik geen wereldkampioen hoor!”,"Biggest competitor of Hanne Desmet on World Championship shorttrack gets out real hard to... own trainer: Oh, so I'm not gonna be a world champion!"
"Stijn en Hanne Desmet blikken terug op uiterst succesvol EK shorttrack: “Vijf medailles, dat zijn er toch wel veel”","Stijn and Hanne Desmet look back on extremely successful EK shorttrack:..Five medals, there are a lot of................................................................................................................................................."
